gens,best_fitness,avg_fitness,best_gene
195,0.0002618486514794449,0.00023453205596704195,"[0, 10, 12, 13, 2, 3, 4, 11, 5, 6, 8, 9, 1, 7]"
196,0.0002618486514794449,0.00023508108500323258,"[0, 10, 12, 13, 2, 3, 4, 11, 5, 6, 8, 9, 1, 7]"
197,0.0002618486514794449,0.00023562517916200082,"[0, 10, 12, 13, 2, 3, 4, 11, 5, 6, 8, 9, 1, 7]"
198,0.0002618486514794449,0.00023599849279848362,"[0, 10, 12, 13, 2, 3, 4, 11, 5, 6, 8, 9, 1, 7]"
199,0.0002618486514794449,0.000236713955678259,"[0, 10, 12, 13, 2, 3, 4, 11, 5, 6, 8, 9, 1, 7]"
200,0.0002618486514794449,0.00023688599333898528,"[0, 10, 12, 13, 2, 3, 4, 11, 5, 6, 8, 9, 1, 7]"
201,0.0002618486514794449,0.00023761491433122673,"[0, 10, 12, 13, 2, 3, 4, 11, 5, 6, 8, 9, 1, 7]"
202,0.0002618486514794449,0.00023836154160419235,"[0, 10, 12, 13, 2, 3, 4, 11, 5, 6, 8, 9, 1, 7]"
203,0.0002719608376393799,0.00023908394807836328,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
204,0.0002719608376393799,0.0002395674731142544,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
205,0.0002719608376393799,0.00024031410038721998,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
206,0.0002719608376393799,0.0002410430213794614,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
207,0.0002719608376393799,0.0002416235748171493,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
208,0.0002719608376393799,0.00024232319316814515,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
209,0.0002719608376393799,0.00024315323602198589,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
210,0.0002719608376393799,0.00024398327887582665,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
211,0.0002719608376393799,0.0002448133217296674,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
212,0.0002719608376393799,0.0002452966202834109,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 0, 1, 7]"
213,0.00027586206896551725,0.0002463073125440776,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
214,0.00027586206896551725,0.0002472025050681259,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
215,0.00027586206896551725,0.00024811348133673257,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
